"time"	"length"	"track"	"channel"	"note"	"notename"	"velocity"	"amplitude"	"angle.c"	"x.c"	"y.c"
48	48	"Lead"	14	57	"a"	100	2	69.011673151751	-36.5365949701906	5.83757038366483
48	48	"Lead"	14	60	"c'"	100	2	69.011673151751	-39.4990215893953	6.31088690125928
48	48	"Lead"	14	69	"a'"	100	2	69.011673151751	-48.3863014470092	7.73083645404262
120	48	"Lead"	14	57	"a"	100	2	69.0291828793774	-36.4287851811928	6.47638867135898
120	48	"Lead"	14	60	"c'"	100	2	69.0291828793774	-39.3824704661544	7.00150126633403
120	48	"Lead"	14	69	"a'"	100	2	69.0291828793774	-48.2435263210391	8.57683905125918
168	24	"Lead"	14	60	"c'"	100	2	69.0408560311284	-39.29805958957	7.46073136459181
168	24	"Lead"	14	64	"e'"	100	2	69.0408560311284	-43.227865548527	8.20680450105099
168	24	"Lead"	14	67	"g'"	100	2	69.0408560311284	-46.1752200177448	8.76635935339538
216	48	"Lead"	14	60	"c'"	100	2	69.0525291828794	-39.208293923054	7.91894485669682
216	48	"Lead"	14	64	"e'"	100	2	69.0525291828794	-43.1291233153594	8.7108393423665
216	48	"Lead"	14	67	"g'"	100	2	69.0525291828794	-46.0697453595885	9.30476020661876
288	24	"Lead"	14	60	"c'"	100	2	69.0700389105058	-39.0636321477853	8.60422241823843
288	24	"Lead"	14	64	"e'"	100	2	69.0700389105058	-42.9699953625638	9.46464466006227
288	24	"Lead"	14	67	"g'"	100	2	69.0700389105058	-45.8997677736477	10.1099613414302
336	24	"Lead"	14	60	"c'"	100	2	69.0817120622568	-38.9605346114641	9.05962155881303
336	24	"Lead"	14	64	"e'"	100	2	69.0817120622568	-42.8565880726105	9.96558371469434
336	24	"Lead"	14	67	"g'"	100	2	69.0817120622568	-45.7786281684703	10.6450553316053
432	48	"Lead"	14	55	"g"	100	2	69.1050583657588	-33.8961244255998	8.72082272060692
432	48	"Lead"	14	59	"b"	100	2	69.1050583657588	-37.769967217097	9.71748817439057
432	48	"Lead"	14	69	"a'"	100	2	69.1050583657588	-47.4545741958398	12.2091518088497
504	48	"Lead"	14	55	"g"	100	2	69.1225680933852	-33.7382370144985	9.31296747301977
504	48	"Lead"	14	59	"b"	100	2	69.1225680933852	-37.5940355304412	10.3773066127935
504	48	"Lead"	14	69	"a'"	100	2	69.1225680933852	-47.2335318202979	13.0381544622277
552	24	"Lead"	14	53	"f"	100	2	69.1342412451362	-31.7056732448853	9.15151813026489
552	24	"Lead"	14	57	"a"	100	2	69.1342412451362	-35.5487851533562	10.2607930551455
552	24	"Lead"	14	67	"g'"	100	2	69.1342412451362	-45.1565649245336	13.033980367347
600	48	"Lead"	14	53	"f"	100	2	69.1459143968872	-31.5966884888944	9.5209913630761
600	48	"Lead"	14	57	"a"	100	2	69.1459143968872	-35.4265901239119	10.6750509222368
600	48	"Lead"	14	67	"g'"	100	2	69.1459143968872	-45.0013442114556	13.5601998201387
672	24	"Lead"	14	53	"f"	100	2	69.1634241245136	-31.4251435423954	10.0727530169186
672	24	"Lead"	14	57	"a"	100	2	69.1634241245136	-35.2342518505646	11.2936927765451
672	24	"Lead"	14	67	"g'"	100	2	69.1634241245136	-44.7570226209874	14.3460421756114
720	24	"Lead"	14	53	"f"	100	2	69.1750972762646	-31.3054244286124	10.4388888941514
720	24	"Lead"	14	57	"a"	100	2	69.1750972762646	-35.1000213290503	11.7042087601092
720	24	"Lead"	14	67	"g'"	100	2	69.1750972762646	-44.5865135801449	14.8675084250035
816	48	"Lead"	14	57	"a"	100	2	69.1984435797665	-34.8172309440293	12.520400528343
816	48	"Lead"	14	60	"c'"	100	2	69.1984435797665	-37.6402496692208	13.5355681387492
816	48	"Lead"	14	69	"a'"	100	2	69.1984435797665	-46.1093058447955	16.5810709699677
888	48	"Lead"	14	57	"a"	100	2	69.215953307393	-34.5926761622485	13.1280903384234
888	48	"Lead"	14	60	"c'"	100	2	69.215953307393	-37.3974877429713	14.1925300955929
888	48	"Lead"	14	69	"a'"	100	2	69.215953307393	-45.8119224851399	17.3858493671013
936	24	"Lead"	14	60	"c'"	100	2	69.227626459144	-37.2292720397517	14.6280997874011
936	24	"Lead"	14	64	"e'"	100	2	69.227626459144	-40.9521992437268	16.0909097661412
936	24	"Lead"	14	67	"g'"	100	2	69.227626459144	-43.7443946467082	17.1880172501963
984	48	"Lead"	14	60	"c'"	100	2	69.2392996108949	-37.0559834415045	15.0616762408089
984	48	"Lead"	14	64	"e'"	100	2	69.2392996108949	-40.7615817856549	16.5678438648898
984	48	"Lead"	14	67	"g'"	100	2	69.2392996108949	-43.5407805437677	17.6974695829504
1056	24	"Lead"	14	60	"c'"	100	2	69.2568093385214	-36.7865907064443	15.7081744386974
1056	24	"Lead"	14	64	"e'"	100	2	69.2568093385214	-40.4652497770887	17.2789918825672
